GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
module06-engagement,com.trustedwork.module06.controller,ChallengeController,53,87,6,6,9,18,8,7,2,7
module06-engagement,com.trustedwork.module06.controller,GamificationController,40,73,5,5,3,16,7,7,2,7
module06-engagement,com.trustedwork.module06.controller,AnalyticsController,0,38,0,0,0,7,0,3,0,3
module06-engagement,com.trustedwork.module06.controller,LeaderboardController,0,41,0,0,0,10,0,4,0,4
module06-engagement,com.trustedwork.module06.controller,BadgeController,0,31,0,0,0,6,0,5,0,5
module06-engagement,com.trustedwork.module06.controller,EventController,51,74,6,6,8,14,8,7,2,7
module06-engagement,com.trustedwork.module06.util,XPConstants,3,0,0,0,1,0,1,0,1,0
module06-engagement,com.trustedwork.module06.util,BadgeRules,3,0,0,0,1,0,1,0,1,0
module06-engagement,com.trustedwork.module06,Module06Application,5,11,0,0,2,3,1,3,1,3
module06-engagement,com.trustedwork.module06.enums,EventStatus,0,27,0,0,0,2,0,1,0,1
module06-engagement,com.trustedwork.module06.enums,RegistrationStatus,0,21,0,0,0,2,0,1,0,1
module06-engagement,com.trustedwork.module06.enums,ChallengeStatus,0,21,0,0,0,2,0,1,0,1
module06-engagement,com.trustedwork.module06.enums,ParticipationStatus,0,21,0,0,0,4,0,1,0,1
module06-engagement,com.trustedwork.module06.enums,EventType,0,21,0,0,0,2,0,1,0,1
module06-engagement,com.trustedwork.module06.enums,BadgeRarity,0,27,0,0,0,2,0,1,0,1
module06-engagement,com.trustedwork.module06.security,JwtUtil,130,0,14,0,36,0,13,0,6,0
module06-engagement,com.trustedwork.module06.security,SecurityConfig,214,0,0,0,25,0,4,0,4,0
module06-engagement,com.trustedwork.module06.security,JwtFilter,39,0,6,0,10,0,4,0,1,0
module06-engagement,com.trustedwork.module06.service.impl,LeaderboardServiceImpl,69,195,11,7,9,47,9,6,2,4
module06-engagement,com.trustedwork.module06.service.impl,GamificationServiceImpl,57,413,5,13,7,87,9,28,4,24
module06-engagement,com.trustedwork.module06.service.impl,ChallengeServiceImpl,207,69,11,3,41,21,20,2,13,2
module06-engagement,com.trustedwork.module06.service.impl,AdvancedAnalyticsServiceImpl,0,122,0,0,0,16,0,5,0,5
module06-engagement,com.trustedwork.module06.service.impl,MlPredictionServiceImpl,4,447,3,41,0,83,3,25,0,6
module06-engagement,com.trustedwork.module06.service.impl,EventServiceImpl,229,104,7,5,49,26,21,4,15,4
module06-engagement,com.trustedwork.module06.service.impl,EngagementScoreServiceImpl,0,110,0,0,0,19,0,3,0,3
module06-engagement,com.trustedwork.module06.service.impl,AiRecommendationServiceImpl,336,272,36,8,61,51,27,10,6,9
module06-engagement,com.trustedwork.module06.service.impl,MlPredictionServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
module06-engagement,com.trustedwork.module06.service.impl,BadgeServiceImpl,78,38,2,0,15,9,6,3,5,3
module06-engagement,com.trustedwork.module06.service.impl,MlPredictionServiceImpl.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
module06-engagement,com.trustedwork.module06.exception,UnauthorizedException,4,0,0,0,2,0,1,0,1,0
module06-engagement,com.trustedwork.module06.exception,AlreadyRegisteredException,4,0,0,0,2,0,1,0,1,0
module06-engagement,com.trustedwork.module06.exception,GlobalExceptionHandler,60,3,6,0,11,1,7,1,4,1
module06-engagement,com.trustedwork.module06.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
module06-engagement,com.trustedwork.module06.exception,GlobalException,4,0,0,0,2,0,1,0,1,0
module06-engagement,com.trustedwork.module06.mapper,ChallengeMapper,122,0,14,0,35,0,11,0,4,0
module06-engagement,com.trustedwork.module06.mapper,GrowthProfileMapper,9,22,1,1,2,9,2,1,1,1
module06-engagement,com.trustedwork.module06.mapper,EventMapper,11,84,2,2,2,31,3,2,1,2
module06-engagement,com.trustedwork.module06.mapper,BadgeMapper,37,44,3,3,12,15,4,3,2,2
