user_id,xp_points,level,engagement_score,current_streak,longest_streak,days_inactive,badges_count,events_attended,challenges_completed,churn
1,610,2,75.69,0,2,3,1,3,3,0
2,120,1,56.88,0,9,7,3,4,0,1
3,1019,3,77.08,23,23,0,4,5,7,1
4,317,1,65.3,0,16,3,4,4,0,0
5,828,2,41.91,0,12,14,3,3,2,1
6,1471,4,78.15,0,5,7,2,1,4,0
7,853,2,69.98,0,7,2,10,2,2,0
8,1862,6,73.34,1,3,2,7,2,2,0
9,1771,5,74.93,1,1,2,5,3,2,0
10,1507,5,41.34,0,25,14,2,3,1,1
11,1681,5,88.07,8,8,2,5,7,3,0
12,2992,9,84.74,1,22,0,5,5,3,0
13,3687,10,30.94,0,28,20,3,0,1,1
14,1400,4,17.4,0,1,45,3,0,1,1
15,2004,6,27.63,0,7,45,0,0,1,1
16,2366,7,40.54,0,8,20,6,6,1,0
17,69,1,71.07,0,0,5,2,3,3,0
18,2590,8,70.79,0,1,7,6,0,4,1
19,2256,7,75.16,0,0,7,6,2,1,0
20,758,2,44.4,0,19,14,3,3,2,1
21,1338,4,78.11,0,0,1,8,3,1,0
22,1028,3,88.5,3,17,0,7,9,4,0
23,1759,5,8.7,0,3,45,1,0,0,1
24,2116,7,51.67,0,9,14,3,4,1,1
25,1123,3,82.32,9,9,0,7,3,2,1
26,1758,5,59.23,0,22,5,6,1,1,0
27,1578,5,2.27,0,6,60,1,0,0,1
28,1411,4,64.76,0,11,10,3,2,5,0
29,2093,6,24.77,0,4,45,0,2,0,1
30,1736,5,0.0,0,5,60,0,2,0,1
31,1504,5,80.47,16,20,0,7,4,6,0
32,2016,6,91.19,0,26,1,3,5,6,0
33,1495,4,79.03,4,10,2,3,1,1,0
34,1449,4,82.05,0,6,3,3,2,1,0
35,3071,10,72.85,0,4,3,3,3,3,0
36,998,3,33.08,0,3,10,2,4,2,1
37,982,3,69.18,3,4,0,6,4,3,0
38,1210,4,52.62,0,7,10,2,2,1,0
39,1308,4,0.92,0,26,60,3,0,0,1
40,2246,7,54.88,0,6,7,3,1,3,0
41,1018,3,87.6,3,3,0,9,3,4,0
42,1731,5,98.25,13,13,1,7,5,4,0
43,2006,6,52.71,0,17,20,3,2,3,1
44,1284,4,0.21,0,7,30,1,1,2,1
45,77,1,87.46,0,41,3,6,7,6,0
46,1544,5,88.44,20,20,1,3,1,4,0
47,1292,4,52.47,0,5,5,3,4,3,0
48,3558,10,10.59,0,2,60,0,1,1,0
49,929,3,68.56,0,1,5,6,4,2,0
50,2077,6,43.71,0,2,10,1,3,0,0
51,1211,4,21.59,0,2,30,2,1,0,0
52,2239,7,75.65,6,22,1,5,4,4,0
