completeness_score,skill_count,endorsement_count,portfolio_count,certification_count,work_experience_months,review_count,avg_rating,kyc_verified,two_factor_enabled,trust_level
82,9,15,18,10,85,23,4.9,1,1,HIGH
67,4,6,1,3,28,3,3.5,1,1,MEDIUM
49,7,10,5,1,18,9,3.1,1,1,MEDIUM
12,0,3,0,1,3,2,1.2,0,0,LOW
26,0,2,0,1,4,3,1.6,0,0,LOW
53,3,10,2,4,26,9,3.6,0,1,MEDIUM
4,0,2,0,0,0,3,2.1,0,0,LOW
50,7,12,2,3,15,12,3.9,1,0,MEDIUM
0,0,3,2,1,8,1,2.5,0,0,LOW
61,7,11,2,1,24,9,3.2,1,0,MEDIUM
38,2,1,2,1,5,2,2.8,0,0,LOW
83,13,21,13,9,105,33,4.3,1,1,HIGH
66,3,10,6,4,15,6,3.9,0,1,MEDIUM
29,2,3,2,1,6,1,1.2,0,0,LOW
64,4,12,5,2,19,6,3.4,0,1,MEDIUM
15,3,2,0,1,0,1,1.3,0,0,LOW
11,1,0,1,1,8,3,1.9,0,0,LOW
80,12,20,17,5,83,18,5.0,1,1,HIGH
46,5,10,5,3,20,10,3.2,0,0,MEDIUM
39,1,0,2,1,6,0,1.8,0,0,LOW
83,13,40,8,5,87,55,4.4,1,1,HIGH
62,3,3,6,4,17,10,4.0,0,0,MEDIUM
60,7,8,6,3,18,4,4.0,0,1,MEDIUM
37,1,0,1,1,8,3,2.3,0,0,LOW
81,7,11,17,8,37,25,4.4,1,1,HIGH
85,9,16,20,7,116,47,5.0,1,1,HIGH
69,7,2,5,2,27,9,4.2,1,1,MEDIUM
89,6,32,9,7,29,13,4.6,1,1,HIGH
46,4,6,6,3,16,7,3.0,0,1,MEDIUM
81,15,33,20,7,53,48,4.8,1,1,HIGH
47,4,8,5,1,6,5,3.4,0,0,MEDIUM
99,13,19,6,6,60,55,4.4,1,1,HIGH
76,7,6,6,3,21,5,4.0,1,1,MEDIUM
92,14,36,5,10,76,13,4.4,1,1,HIGH
77,7,12,3,1,18,2,3.6,1,0,MEDIUM
92,11,30,20,3,103,14,4.4,1,1,HIGH
59,4,4,1,3,9,10,4.0,0,1,MEDIUM
3,1,2,0,0,3,3,2.5,0,0,LOW
2,3,2,2,0,0,0,2.4,0,0,LOW
55,7,2,6,1,14,9,3.9,1,1,MEDIUM
66,4,7,3,3,30,11,3.8,0,0,MEDIUM
61,3,7,1,3,13,12,3.8,1,0,MEDIUM
71,7,4,5,4,19,4,3.6,0,0,MEDIUM
4,1,1,2,1,0,0,2.5,0,0,LOW
25,1,3,0,1,4,2,2.8,0,0,LOW
100,15,38,16,6,114,14,4.2,1,1,HIGH
26,2,2,1,0,1,0,1.9,0,0,LOW
66,6,12,5,2,15,7,3.8,0,1,MEDIUM
89,9,11,12,4,34,56,4.6,1,1,HIGH
98,12,19,6,4,50,50,4.4,1,1,HIGH
84,10,24,20,4,27,50,4.7,1,1,HIGH
94,9,37,16,4,111,33,4.6,1,1,HIGH
41,0,0,2,1,7,1,3.0,0,0,LOW
87,15,22,12,9,29,30,4.8,1,1,HIGH
3,0,1,0,1,5,2,1.9,0,0,LOW
87,10,12,12,4,72,27,4.6,1,1,HIGH
42,3,1,2,0,0,1,2.1,0,0,LOW
14,3,2,2,1,5,3,1.3,0,0,LOW
97,10,35,10,4,108,11,4.3,1,1,HIGH
20,2,2,2,1,8,0,1.3,0,0,LOW
85,13,26,19,7,47,47,4.5,1,1,HIGH
48,7,5,6,2,7,3,3.5,1,0,MEDIUM
74,4,9,3,1,19,12,3.6,1,0,MEDIUM
87,7,20,5,6,99,24,4.2,1,1,HIGH
67,3,12,3,3,9,7,3.6,1,1,MEDIUM
49,5,2,6,1,6,7,3.8,0,0,MEDIUM
49,4,12,1,1,29,10,3.3,1,1,MEDIUM
78,5,3,5,1,7,10,4.2,0,0,MEDIUM
100,6,34,5,6,49,11,4.7,1,1,HIGH
100,6,19,19,3,98,33,4.8,1,1,HIGH
3,1,1,0,0,3,2,2.4,0,0,LOW
93,8,24,5,7,88,58,4.3,1,1,HIGH
36,2,3,1,0,0,2,2.3,0,0,LOW
77,4,11,5,2,11,12,3.8,1,0,MEDIUM
43,2,2,0,0,6,3,2.2,0,0,LOW
98,8,17,19,7,82,26,4.7,1,1,HIGH
76,3,7,6,4,22,7,3.9,1,0,MEDIUM
94,10,31,10,4,80,32,5.0,1,1,HIGH
74,3,2,2,4,19,9,3.6,1,0,MEDIUM
92,9,39,9,4,59,59,4.8,1,1,HIGH
61,5,7,1,1,21,8,3.2,1,0,MEDIUM
13,1,3,2,1,3,0,3.0,0,0,LOW
91,9,28,15,3,46,26,4.2,1,1,HIGH
30,1,1,2,0,4,3,2.5,0,0,LOW
46,3,7,5,1,25,11,4.0,1,0,MEDIUM
89,12,32,13,10,62,22,5.0,1,1,HIGH
95,7,17,17,8,97,28,5.0,1,1,HIGH
100,9,13,14,4,96,60,4.2,1,1,HIGH
51,4,6,1,4,16,11,3.5,1,1,MEDIUM
100,7,10,13,6,52,18,4.8,1,1,HIGH
11,2,2,1,0,0,1,2.4,0,0,LOW
44,0,1,1,1,8,2,1.4,0,0,LOW
20,2,0,2,1,1,0,1.4,0,0,LOW
75,4,5,3,3,13,6,4.0,0,1,MEDIUM
96,13,35,10,4,60,42,4.7,1,1,HIGH
87,11,34,9,3,59,19,5.0,1,1,HIGH
4,0,0,0,1,2,0,3.0,0,0,LOW
53,7,8,2,2,11,11,4.1,0,1,MEDIUM
76,6,11,5,4,27,11,3.8,1,1,MEDIUM
77,6,2,4,2,22,8,3.6,0,1,MEDIUM
38,2,2,1,1,5,3,1.6,0,0,LOW
54,6,7,3,1,8,2,4.2,1,1,MEDIUM
20,3,2,1,1,4,1,1.2,0,0,LOW
79,3,7,6,1,9,5,3.9,1,0,MEDIUM
22,2,1,0,1,8,2,1.4,0,0,LOW
39,2,2,2,0,2,2,2.6,0,0,LOW
21,3,3,0,1,2,0,2.1,0,0,LOW
90,12,18,18,7,34,40,4.2,1,1,HIGH
55,3,11,1,2,15,2,3.4,1,0,MEDIUM
76,6,9,2,3,11,4,3.9,1,0,MEDIUM
83,13,32,19,4,34,30,4.7,1,1,HIGH
98,11,37,8,10,36,43,4.9,1,1,HIGH
4,0,2,2,0,7,2,1.6,0,0,LOW
98,15,40,5,7,97,12,4.8,1,1,HIGH
33,0,1,0,0,0,1,1.1,0,0,LOW
100,6,17,7,3,66,14,4.6,1,1,HIGH
64,6,3,3,3,13,12,3.6,0,1,MEDIUM
88,15,23,17,8,52,18,4.6,1,1,HIGH
73,5,7,1,4,9,5,3.3,1,1,MEDIUM
42,1,0,1,1,4,2,2.5,0,0,LOW
91,14,38,18,5,54,20,5.0,1,1,HIGH
9,1,0,2,1,3,2,1.5,0,0,LOW
36,0,0,2,0,4,2,2.9,0,0,LOW
97,6,39,17,3,34,51,4.5,1,1,HIGH
12,1,0,1,1,7,3,1.8,0,0,LOW
51,7,10,2,2,27,9,3.3,0,1,MEDIUM
87,8,19,5,9,35,24,5.0,1,1,HIGH
98,10,20,12,4,59,38,4.4,1,1,HIGH
94,10,30,18,4,41,12,5.0,1,1,HIGH
19,0,1,0,1,6,0,1.7,0,0,LOW
65,6,7,5,3,15,3,3.7,1,1,MEDIUM
32,0,0,1,0,2,0,1.5,0,0,LOW
53,5,6,3,4,10,3,3.2,1,1,MEDIUM
47,3,4,6,3,21,10,3.6,0,1,MEDIUM
16,0,3,1,1,0,3,2.9,0,0,LOW
9,3,0,1,1,3,0,2.6,0,0,LOW
55,4,7,5,2,9,5,4.0,0,1,MEDIUM
67,3,10,1,1,21,2,3.4,0,0,MEDIUM
46,3,10,5,4,6,2,3.7,1,1,MEDIUM
15,3,2,2,1,3,1,1.3,0,0,LOW
36,3,2,2,0,7,0,1.0,0,0,LOW
90,7,12,17,4,69,32,4.7,1,1,HIGH
48,3,6,4,4,15,10,3.0,0,1,MEDIUM
34,1,1,1,1,2,0,1.4,0,0,LOW
37,2,0,1,1,2,0,1.3,0,0,LOW
83,13,14,19,8,120,38,4.7,1,1,HIGH
69,3,11,3,2,28,3,3.1,0,1,MEDIUM
82,6,37,8,5,104,20,4.8,1,1,HIGH
30,3,1,0,1,5,1,1.7,0,0,LOW
94,7,31,11,3,30,60,4.5,1,1,HIGH
31,2,1,0,1,0,1,1.5,0,0,LOW
46,5,4,5,4,28,7,3.1,0,0,MEDIUM
20,1,3,1,0,4,3,1.8,0,0,LOW
44,2,1,0,0,6,0,1.4,0,0,LOW
50,6,11,2,3,16,3,3.1,1,1,MEDIUM
87,12,40,16,4,74,10,4.4,1,1,HIGH
16,0,3,0,1,6,2,1.4,0,0,LOW
7,3,0,2,0,7,1,2.1,0,0,LOW
99,11,12,12,7,52,22,4.3,1,1,HIGH
10,2,2,0,0,4,1,2.7,0,0,LOW
38,1,2,1,1,4,3,2.8,0,0,LOW
61,4,8,4,1,20,11,3.6,1,1,MEDIUM
25,3,0,1,1,2,2,1.5,0,0,LOW
0,0,0,0,1,2,0,2.7,0,0,LOW
96,15,23,8,4,107,51,4.9,1,1,HIGH
10,2,1,1,0,1,1,2.6,0,0,LOW
77,4,2,2,4,20,10,3.7,0,1,MEDIUM
97,13,14,18,5,59,39,4.4,1,1,HIGH
51,5,6,4,4,10,10,3.6,0,0,MEDIUM
86,12,13,12,5,58,19,4.3,1,1,HIGH
45,4,3,4,4,26,7,3.7,0,0,MEDIUM
42,3,1,0,0,3,1,2.4,0,0,LOW
82,13,35,8,3,107,44,4.9,1,1,HIGH
69,5,4,4,4,17,10,3.3,0,1,MEDIUM
64,6,9,5,4,30,8,4.1,0,0,MEDIUM
84,11,38,7,6,71,28,4.3,1,1,HIGH
91,6,38,16,6,111,25,4.7,1,1,HIGH
46,7,12,4,2,9,3,3.7,0,0,MEDIUM
26,1,3,1,1,5,3,1.2,0,0,LOW
75,7,12,2,2,27,11,4.1,0,1,MEDIUM
26,0,0,1,1,8,1,3.1,0,0,LOW
89,9,33,7,9,36,58,4.7,1,1,HIGH
71,5,8,4,4,18,3,3.9,0,1,MEDIUM
6,0,2,1,1,2,3,2.7,0,0,LOW
2,1,3,0,1,1,2,2.3,0,0,LOW
2,2,3,0,0,8,3,1.5,0,0,LOW
79,4,7,3,2,20,3,3.3,1,1,MEDIUM
26,0,2,2,0,2,1,1.3,0,0,LOW
97,7,28,18,3,27,15,4.4,1,1,HIGH
20,1,0,1,0,5,0,1.5,0,0,LOW
65,4,8,5,3,24,7,3.7,1,1,MEDIUM
64,6,2,1,4,22,9,4.3,0,1,MEDIUM
94,15,29,17,8,27,41,4.9,1,1,HIGH
88,14,10,11,4,54,56,4.5,1,1,HIGH
82,8,17,10,4,44,10,4.5,1,1,HIGH
30,2,2,0,1,1,2,1.1,0,0,LOW
90,15,20,8,7,88,29,4.7,1,1,HIGH
59,3,7,1,3,10,4,3.0,1,0,MEDIUM
92,13,22,12,5,107,54,4.2,1,1,HIGH
72,7,2,1,2,15,4,3.2,0,1,MEDIUM
30,1,2,2,0,5,0,1.5,0,0,LOW
75,6,11,1,1,6,6,3.3,0,1,MEDIUM
89,13,13,8,6,92,18,4.5,1,1,HIGH
97,14,21,18,8,69,54,4.6,1,1,HIGH
52,5,5,3,1,7,5,3.5,1,0,MEDIUM
70,6,3,3,4,16,12,3.3,0,1,MEDIUM
96,15,19,8,6,61,24,4.5,1,1,HIGH
27,3,2,0,1,3,1,1.8,0,0,LOW
50,4,7,1,2,15,3,3.2,0,1,MEDIUM
89,6,36,17,7,25,46,4.9,1,1,HIGH
64,3,8,3,1,29,5,3.8,0,1,MEDIUM
43,3,2,1,0,2,1,3.2,0,0,LOW
57,5,11,4,2,7,9,3.1,1,0,MEDIUM
64,7,8,5,4,14,2,4.0,0,1,MEDIUM
87,12,32,9,6,32,36,4.5,1,1,HIGH
53,3,9,1,3,12,2,4.0,0,1,MEDIUM
56,4,12,6,4,18,2,4.0,0,1,MEDIUM
68,5,8,1,2,29,4,3.0,1,1,MEDIUM
65,7,8,5,4,28,12,3.5,0,1,MEDIUM
88,13,16,9,10,55,60,4.6,1,1,HIGH
15,3,0,2,0,5,2,1.3,0,0,LOW
97,9,23,19,6,76,31,4.9,1,1,HIGH
46,3,2,6,3,26,5,4.0,1,0,MEDIUM
92,10,12,11,8,51,51,4.6,1,1,HIGH
7,0,1,1,1,7,1,3.1,0,0,LOW
76,5,4,2,3,20,11,3.1,1,0,MEDIUM
44,0,1,0,1,7,2,1.6,0,0,LOW
7,0,1,2,1,0,1,2.8,0,0,LOW
22,1,1,1,1,2,3,1.1,0,0,LOW
3,2,1,1,1,7,3,2.4,0,0,LOW
90,10,37,7,7,68,51,4.6,1,1,HIGH
68,3,6,5,2,19,10,4.3,0,1,MEDIUM
57,3,2,6,4,25,2,3.3,0,0,MEDIUM
55,5,10,4,1,27,5,3.9,1,0,MEDIUM
38,1,3,1,0,3,3,1.8,0,0,LOW
96,12,36,19,5,119,40,4.6,1,1,HIGH
97,6,31,8,7,106,31,4.3,1,1,HIGH
92,8,29,14,9,94,10,4.4,1,1,HIGH
90,14,34,17,10,65,22,5.0,1,1,HIGH
50,5,10,4,3,10,12,3.9,0,1,MEDIUM
80,14,39,11,8,79,14,5.0,1,1,HIGH
100,14,17,15,3,53,12,4.8,1,1,HIGH
17,2,2,1,1,3,1,2.1,0,0,LOW
53,5,7,4,3,7,8,3.1,0,1,MEDIUM
98,15,31,20,5,81,44,4.6,1,1,HIGH
52,4,10,4,2,29,5,4.1,0,1,MEDIUM
50,7,11,5,4,20,11,3.7,0,1,MEDIUM
11,1,1,2,1,5,0,2.5,0,0,LOW
60,3,11,6,1,12,2,3.6,1,0,MEDIUM
62,3,4,1,2,19,9,3.7,1,0,MEDIUM
64,5,9,2,4,17,9,3.1,1,1,MEDIUM
75,4,5,5,3,23,6,3.2,0,0,MEDIUM
1,2,0,1,1,3,1,1.2,0,0,LOW
42,3,0,1,1,5,1,3.1,0,0,LOW
85,13,27,18,3,38,14,5.0,1,1,HIGH
91,8,29,8,5,63,16,4.7,1,1,HIGH
59,4,11,4,3,7,3,3.9,1,0,MEDIUM
54,4,7,2,4,24,5,3.6,1,1,MEDIUM
97,12,31,16,4,88,51,4.5,1,1,HIGH
93,11,39,13,3,60,56,4.4,1,1,HIGH
25,0,0,1,0,3,2,1.6,0,0,LOW
30,1,1,1,0,0,2,1.0,0,0,LOW
69,5,8,3,1,24,5,3.8,0,0,MEDIUM
67,3,8,1,4,22,7,3.3,0,1,MEDIUM
84,14,11,16,5,79,18,4.2,1,1,HIGH
56,4,9,3,2,6,6,3.5,1,1,MEDIUM
65,5,12,1,1,26,11,3.3,0,0,MEDIUM
71,4,4,3,3,12,4,3.6,1,1,MEDIUM
46,5,9,4,2,17,10,4.2,1,0,MEDIUM
4,0,3,2,1,5,3,3.1,0,0,LOW
97,6,24,7,8,56,30,4.3,1,1,HIGH
21,0,0,1,0,2,3,2.8,0,0,LOW
77,3,6,4,4,7,2,3.5,1,0,MEDIUM
94,8,11,13,9,65,23,4.6,1,1,HIGH
63,3,8,5,4,30,10,3.4,0,0,MEDIUM
89,11,21,18,5,55,43,4.5,1,1,HIGH
83,10,36,11,5,71,58,4.3,1,1,HIGH
10,3,1,0,0,5,1,3.1,0,0,LOW
42,2,1,1,0,8,0,1.6,0,0,LOW
8,1,0,2,0,1,2,2.6,0,0,LOW
66,4,9,6,3,28,4,3.0,1,1,MEDIUM
100,7,29,10,6,44,39,4.5,1,1,HIGH
87,10,22,9,7,82,30,4.9,1,1,HIGH
82,6,24,8,4,92,23,4.6,1,1,HIGH
85,8,15,7,9,103,53,4.4,1,1,HIGH
98,6,14,9,7,34,25,4.3,1,1,HIGH
0,0,0,0,0,7,2,1.8,0,0,LOW
97,13,23,6,6,77,34,4.9,1,1,HIGH
82,10,20,18,5,49,18,4.8,1,1,HIGH
97,10,29,5,7,108,16,5.0,1,1,HIGH
85,13,16,16,7,67,27,4.9,1,1,HIGH
99,14,13,17,6,56,12,4.8,1,1,HIGH
57,7,12,5,2,21,5,4.1,1,1,MEDIUM
12,1,0,0,0,2,3,2.0,0,0,LOW
2,2,3,1,1,3,2,2.2,0,0,LOW
16,0,0,1,0,6,1,2.6,0,0,LOW
1,3,1,0,0,3,2,2.7,0,0,LOW
29,0,0,0,1,7,0,3.2,0,0,LOW
75,3,7,3,1,19,11,3.4,0,1,MEDIUM
21,1,3,1,0,0,0,2.4,0,0,LOW
87,10,34,20,6,59,38,4.3,1,1,HIGH
54,4,3,2,3,12,4,3.8,0,0,MEDIUM
87,9,29,13,5,104,16,4.9,1,1,HIGH
58,7,6,6,4,12,3,3.2,0,1,MEDIUM
20,1,0,2,1,7,0,1.6,0,0,LOW
92,12,31,9,10,28,18,4.6,1,1,HIGH
93,14,13,7,10,81,59,4.5,1,1,HIGH
9,0,0,2,1,8,3,3.1,0,0,LOW
93,8,33,13,10,83,37,4.9,1,1,HIGH
54,7,12,4,1,10,3,3.3,1,1,MEDIUM
16,3,3,2,1,0,1,1.6,0,0,LOW
54,6,3,4,4,26,6,4.0,0,1,MEDIUM
4,0,3,2,1,8,2,2.9,0,0,LOW
79,3,10,1,1,27,2,4.0,1,0,MEDIUM
40,1,2,2,0,0,3,1.6,0,0,LOW
35,3,1,0,1,0,3,1.2,0,0,LOW
8,2,0,0,1,6,2,2.2,0,0,LOW
7,0,0,0,0,2,2,1.8,0,0,LOW
49,3,3,1,4,9,7,4.1,0,1,MEDIUM
26,0,1,1,0,6,3,2.7,0,0,LOW
71,4,8,5,4,29,2,3.9,0,1,MEDIUM
96,10,24,5,3,85,35,4.5,1,1,HIGH
8,1,0,2,0,2,3,1.8,0,0,LOW
96,14,15,6,4,47,14,4.7,1,1,HIGH
46,6,3,3,4,8,3,4.1,0,1,MEDIUM
89,11,35,8,10,33,19,4.8,1,1,HIGH
94,11,19,12,6,27,52,4.4,1,1,HIGH
