project_category,project_budget_usd,project_deadline_days,fl_experience_level,fl_hourly_rate,fl_n_projects,fl_completion_rate,fl_on_time_rate,fl_avg_rating,fl_dispute_rate,fl_repeat_client_rate,fl_available_in_days,fl_hours_per_week,fl_avg_response_hours,fl_portfolio_score,budget_match_score,deadline_feasible,category_match,exp_level_num,success,project_category_enc
dev,1000,30,mid,37.92,55,0.776,0.785,3.55,0.157,0.682,14,30,1.8,6.8,0.483,1,1,2,1,2
design,10000,14,junior,11.83,14,0.708,0.821,2.71,0.19,0.547,1,30,4.9,1.0,0.047,1,0,1,1,1
data,1000,30,junior,16.67,2,0.575,0.667,3.15,0.142,0.729,3,30,7.5,1.6,0.667,1,1,1,0,0
dev,5000,60,mid,38.68,67,0.804,0.448,4.13,0.209,0.734,7,20,6.4,3.0,0.309,1,0,2,1,2
data,10000,60,mid,36.35,5,0.716,0.705,3.54,0.213,0.611,0,20,15.7,4.7,0.145,1,1,2,1,0
marketing,500,14,mid,37.13,8,0.655,0.607,3.91,0.185,0.758,0,20,0.4,2.5,-0.97,1,1,2,1,3
marketing,500,14,mid,24.92,125,0.722,0.785,3.95,0.129,0.546,7,20,2.3,3.1,0.006,0,1,2,0,3
data,1000,90,junior,19.98,6,0.7,0.564,3.93,0.244,0.717,0,40,0.7,1.1,0.799,1,0,1,1,0
data,2000,30,junior,19.17,9,0.659,0.557,3.74,0.161,0.705,1,20,4.1,1.0,0.383,1,0,1,1,0
data,1000,30,junior,16.67,2,0.575,0.667,3.15,0.142,0.729,3,30,7.5,1.6,0.667,1,1,1,1,0
marketing,2000,60,senior,42.04,67,0.902,0.858,4.27,0.082,0.773,0,40,0.8,7.3,0.841,1,1,3,1,3
writing,5000,14,mid,41.62,25,0.703,0.848,3.68,0.093,0.579,0,40,1.8,4.4,0.333,1,0,2,0,4
dev,1000,30,junior,16.85,59,0.747,0.525,3.13,0.174,0.551,30,10,8.4,0.0,0.674,0,1,1,1,2
design,1000,60,expert,79.27,22,0.823,0.965,5.0,0.051,0.678,3,30,0.1,8.5,-1.0,1,1,4,1,1
design,1000,30,junior,17.35,21,0.604,0.897,3.21,0.172,0.625,30,40,6.3,2.6,0.694,0,1,1,0,1
design,1000,90,mid,38.68,67,0.804,0.448,4.13,0.209,0.734,7,20,6.4,3.0,0.453,1,1,2,1,1
data,500,7,mid,29.79,35,0.753,0.804,4.16,0.151,0.681,3,40,17.5,3.8,-0.383,1,1,2,1,0
writing,5000,14,mid,47.35,6,0.893,0.807,3.84,0.159,0.62,14,30,6.6,4.1,0.379,0,1,2,1,4
writing,1000,30,senior,29.47,116,0.814,0.813,3.8,0.09,0.877,0,40,3.3,5.3,0.821,1,0,3,1,4
design,1000,30,expert,73.4,8,0.99,0.988,4.55,0.068,0.865,3,10,0.7,8.1,-0.936,1,1,4,1,1
data,2000,14,mid,29.65,9,0.827,0.806,3.43,0.172,0.697,3,10,0.3,3.1,0.593,1,1,2,1,0
writing,2000,60,senior,85.26,8,0.922,0.858,4.82,0.131,0.726,7,40,0.7,5.4,0.295,1,1,3,1,4
writing,2000,60,mid,49.96,1,0.751,0.811,4.35,0.158,0.646,0,30,20.9,4.0,0.999,1,1,2,1,4
dev,5000,30,mid,35.2,120,0.588,0.689,4.5,0.19,0.661,1,30,13.3,3.9,0.282,1,0,2,1,2
marketing,5000,14,junior,12.96,0,0.0,0.0,0.0,0.0,0.0,3,20,1.4,0.2,0.104,1,1,1,0,3
data,5000,60,junior,27.78,10,0.781,0.704,2.79,0.218,0.491,7,20,2.0,1.9,0.222,1,1,1,1,0
writing,2000,60,mid,32.13,15,0.864,0.886,3.79,0.143,0.65,30,10,5.0,3.6,0.643,0,0,2,0,4
marketing,5000,30,mid,38.72,25,0.808,0.643,3.82,0.13,0.494,0,10,17.0,4.8,0.31,1,1,2,1,3
design,1000,30,junior,12.4,28,0.581,0.632,4.04,0.195,0.567,7,40,1.3,2.9,0.496,1,1,1,1,1
writing,5000,90,junior,20.47,0,0.0,0.0,0.0,0.0,0.0,1,30,6.8,0.0,0.164,1,1,1,0,4
writing,20000,14,senior,92.89,109,0.862,0.711,4.67,0.072,0.667,0,20,1.4,6.9,0.186,1,1,3,1,4
writing,1000,30,expert,116.92,3,0.85,0.709,4.91,0.01,0.928,7,30,6.4,8.4,-1.0,1,1,4,0,4
marketing,1000,30,mid,35.2,120,0.588,0.689,4.5,0.19,0.661,1,30,13.3,3.9,0.592,1,1,2,1,3
writing,2000,60,mid,26.42,105,0.737,0.739,3.26,0.168,0.767,0,10,21.9,3.3,0.528,1,1,2,1,4
dev,1000,30,junior,17.9,45,0.811,0.623,3.07,0.21,0.507,1,10,1.2,2.1,0.716,1,1,1,1,2
dev,10000,14,senior,61.85,19,0.866,0.845,4.25,0.107,0.947,0,20,12.0,5.6,0.247,1,1,3,1,2
data,5000,60,mid,40.94,20,0.745,0.802,3.67,0.127,0.648,3,30,7.5,3.7,0.328,1,1,2,1,0
marketing,10000,14,expert,101.64,200,0.948,0.949,4.14,0.101,0.85,3,20,7.9,9.6,0.407,1,1,4,0,3
data,2000,30,mid,18.68,34,0.768,0.695,3.3,0.15,0.875,0,30,10.6,3.9,0.374,1,1,2,1,0
marketing,20000,60,mid,39.46,17,0.98,0.685,4.66,0.142,0.543,0,10,2.1,3.7,0.079,1,0,2,1,3
writing,2000,90,junior,26.24,5,0.493,0.592,3.26,0.16,0.435,1,10,15.8,1.2,0.525,1,1,1,1,4
data,2000,60,junior,16.67,2,0.575,0.667,3.15,0.142,0.729,3,30,7.5,1.6,0.333,1,1,1,1,0
writing,5000,30,junior,9.19,1,0.793,0.532,2.63,0.19,0.568,3,30,3.4,2.6,0.074,1,0,1,1,4
data,1000,14,mid,20.65,1,0.681,0.846,4.17,0.141,0.633,3,10,0.6,4.6,0.826,1,1,2,1,0
design,5000,60,senior,79.55,17,0.851,1.0,4.68,0.111,0.94,0,10,2.3,5.2,0.636,1,1,3,0,1
dev,500,30,junior,16.85,59,0.747,0.525,3.13,0.174,0.551,30,10,8.4,0.0,0.652,0,1,1,0,2
dev,10000,30,senior,82.33,33,0.841,0.838,5.0,0.058,0.942,7,20,3.7,7.3,0.329,1,1,3,1,2
data,1000,30,senior,81.96,71,0.988,0.667,4.51,0.068,0.729,14,30,3.1,6.7,-1.0,1,0,3,1,0
marketing,1000,7,mid,30.38,109,0.826,0.688,4.32,0.154,0.605,3,40,33.1,1.8,0.785,1,1,2,0,3
design,1000,7,expert,109.73,60,0.786,0.762,4.52,0.125,0.826,0,30,7.1,8.3,-1.0,1,1,4,1,1
writing,5000,30,mid,22.46,32,0.791,0.887,4.0,0.143,0.803,1,20,1.3,3.8,0.18,1,1,2,1,4
design,500,14,senior,46.14,108,0.959,0.944,4.03,0.126,0.613,3,20,0.5,7.5,-1.0,1,1,3,1,1
writing,10000,30,senior,55.45,157,0.98,0.938,4.27,0.107,0.809,14,40,3.6,5.9,0.222,1,1,3,1,4
dev,20000,60,mid,29.87,16,0.88,0.648,4.15,0.113,0.857,3,30,12.7,5.8,0.06,1,0,2,1,2
data,500,90,senior,31.26,58,0.882,0.862,4.72,0.078,0.785,3,20,2.7,6.1,-0.501,1,1,3,1,0
design,500,14,junior,8.66,17,0.749,0.696,3.13,0.226,0.75,3,30,1.4,0.9,0.693,1,1,1,1,1
dev,2000,30,mid,36.96,48,0.618,0.753,3.59,0.143,0.73,3,40,4.3,3.0,0.739,1,1,2,0,2
dev,500,30,senior,75.08,6,0.835,0.808,4.07,0.128,0.786,7,40,11.0,7.0,-1.0,1,1,3,1,2
design,1000,14,junior,17.87,1,0.602,0.676,3.69,0.223,0.478,1,20,15.9,4.4,0.715,1,0,1,1,1
